,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2021-05-10,1090209426707.6116,54047132083.74689,55535634059.30253,453427650587.8354,101635224438.34967,56745167455.69027,14379641006.960682,6555113886.56335,7800335902.963942,12090617548.949717,604092223226.5563,2456518166904.5303
2021-05-17,867104686926.2623,50481195135.57297,58304692199.69413,412876797066.447,85868720257.24208,73783605430.06041,14380484848.824095,6165190811.531926,7797460528.146255,12691548535.05029,579713697733.7616,2169168079472.593
2021-05-24,660305590363.3535,37066765356.411156,59539781894.728584,248898637917.83716,40788910712.924995,43154071025.42658,14386844011.914246,1659559442.6379974,8617977134.12055,6827530516.36606,297249601825.32965,1418495270201.0505
2021-05-31,664797433647.3008,42179371075.922615,61741699857.36095,276056372665.41736,49660029623.55848,50147399170.33178,22421971598.10901,2503455195.0661454,8605225655.403072,7746231907.95105,357866699987.73895,1543725890384.1602
2021-06-07,671105857297.8038,44138087093.74394,62299993476.926636,316220075244.1331,60492737398.99462,53538706880.93689,23003108019.53995,2593587007.331107,9653296087.010298,11536216030.647835,382350897857.77924,1636932562394.8474
2021-06-14,733089662951.4908,41097846625.34368,62571407742.3802,292848691037.20667,56412706103.87765,50015905837.86614,23640318676.963264,2525291555.0537205,9572743097.079021,10607026208.29342,347269096704.38885,1629650696539.9434
2021-06-21,668773312881.0383,35907449636.900955,62636161406.73721,262694218911.09055,52412703685.123116,45846064980.40981,24439765827.707863,2463384885.236351,9461151614.743862,9673629921.695074,317859464646.50543,1492167308397.1885
2021-06-28,651673221700.1503,30143725330.609886,62563932112.4998,231335391490.19632,44701961318.92626,42882264649.92741,25789207777.09036,2265903061.384839,9950257025.903002,8698733063.940302,271609255587.20453,1381613853117.833
2021-07-05,654875820839.3734,31822606089.448692,62343815846.68664,269388313129.48355,46713641449.50448,46165090488.80858,25511324239.651043,2453321704.477097,10676496881.938828,9255991156.19707,307733462462.0576,1466939884287.627
2021-07-12,643078456006.2637,29338032368.04867,62223128478.539,249509446462.20782,49383000459.14078,43185569645.433365,26131617301.812748,3525137476.334199,10699018432.078655,8774097194.191042,287990074023.6265,1413837577847.6765
2021-07-19,595491097121.512,27098001091.320114,62022294312.33755,220895871214.31192,51110865556.440765,37835298622.918686,26651391776.07696,2717960028.2481422,11203435931.891918,7240574621.792384,251765453755.96936,1294032244032.8198
2021-07-26,662221981750.3365,28004344019.095184,61821329084.64882,254401069478.152,50851301401.03733,39229864028.114334,27045238791.33958,3429425293.2595406,11785403064.389055,7647070601.70201,279807739497.3599,1426244767009.4343
2021-08-02,749883353306.2881,33593825863.459877,61889097245.60041,299756464032.3843,56079603073.38406,42180638013.975586,27421185483.304848,4980636514.982933,12227108403.926065,9324380241.975903,307955438383.38324,1605291730562.6653
2021-08-09,825186129786.353,36313779867.77931,62210754006.21174,354795020199.75415,57736574908.12135,45998555954.884254,27688910948.062004,5612091144.390836,12247829359.422735,10328311085.482788,336383392718.16406,1774501349978.6262
2021-08-16,884837176466.84,59895581489.095894,63383681080.787445,387869517708.778,69855406559.47464,69858638030.39532,27647128257.654514,7966021842.30828,12046376800.216831,15255589537.120253,419670208406.4182,2018285326179.0894
2021-08-23,927513388249.6575,57136794993.77034,64686799899.781494,381066593734.4186,75510123978.09294,87505386899.85907,26980208402.815502,11338084802.176517,12287164641.722475,20933067410.946964,438296458090.97687,2103254071104.2183
2021-08-30,915929550642.2723,52940620674.511536,65557905481.69473,377599191829.9751,80562436743.22575,91472906147.08849,27227073900.287365,13391515122.018675,12179314353.993994,27361406759.656445,434032937365.4214,2098254859020.1458
2021-09-06,973484406148.8275,61155942795.72297,66801134448.78579,463592074546.4424,85090831755.05846,93328707381.58498,27798271767.888966,13785846396.793911,12602476015.907742,41333941565.41185,504423419385.4014,2343397052207.826
2021-09-13,867594345441.25,52306296847.917435,68312563436.14614,400419526391.48303,70194086577.12184,82677262520.25803,29221058120.662502,15906172585.787325,12463116606.159086,50978499453.256546,471527347790.96405,2121600275771.006
2021-09-20,888738841804.4756,48796685106.79569,68320965685.51904,391936421521.8012,68718059326.73431,73069595000.12416,29444254033.469273,13190480076.872974,12835716507.340672,45326489781.75363,461769308507.3248,2102146817352.2114
2021-09-27,813105834426.6675,44112772979.90928,68595484621.015175,360122132698.9055,57867188249.482124,70742312506.06094,31091526643.848938,13796993580.624432,13693165867.985453,40391944834.03222,403503347071.61664,1917022703480.1482
2021-10-04,906294464847.2216,49237520634.32285,68040502744.86015,402169257659.5084,72191588193.85864,71981003391.79106,32212436229.276615,17006593086.724165,13101951788.618402,51166763788.391945,460932479389.11115,2144334561753.685
2021-10-11,1027165303573.2286,52880947086.52413,68474478750.95803,399096843515.5582,67460149994.2339,69731447964.64735,33175294463.723736,15593973758.440002,13191976059.403257,43698245171.01206,473487831993.43726,2263956492331.1665
2021-10-18,1161960269770.6792,51331949588.04592,69062139553.45726,454731511807.95245,79102774071.56793,71090033388.84125,32807682252.193527,14585366160.069777,13013065530.083113,48329202670.61261,486118720560.77234,2482132715354.2754
2021-10-25,1146356275069.934,50749473604.40725,69585534137.25978,481996801937.34546,79376814740.057,69743025165.0824,32594883627.224865,16632919617.502388,12865351921.566227,60430417593.93316,498591433513.57745,2518922930927.89
2021-11-01,1155486888639.854,52148426078.023,70290989367.51501,506301266756.098,87556130391.75595,65220378451.25845,33172476916.99941,17133451463.752026,13615403983.265171,61110194414.2589,561435108665.6044,2623470715128.3843
2021-11-08,1198357285045.2302,57946241279.38658,72640443524.2737,547703002354.22394,108321285438.24037,67366388480.482925,34339389888.550697,20170860910.8628,13615993132.083498,75565742374.1649,602811312578.6517,2798837945006.1514
2021-11-15,1242518615761.8267,56309991604.29494,73864141488.2074,549378527793.3194,108913451368.84886,68254035029.08592,34420073719.41656,23037717527.45657,12693234013.736496,72412828069.32408,614599826977.6827,2856402443353.1997
